LSOA21CD,LSOA name (2011),Local Authority District code (2019),Local Authority District name (2019),Index of Multiple Deprivation (IMD) Rank,Index of Multiple Deprivation (IMD) Decile
E01009637,Coventry 024B,E08000026,Coventry,"3,103",1
E01009638,Coventry 024C,E08000026,Coventry,232,1
E01009639,Coventry 024D,E08000026,Coventry,"5,107",2
E01009640,Coventry 024E,E08000026,Coventry,"2,911",1
E01009641,Coventry 024F,E08000026,Coventry,"8,217",3
E01009642,Coventry 031C,E08000026,Coventry,"13,010",4
E01009643,Coventry 017A,E08000026,Coventry,"22,424",7
E01009644,Coventry 017B,E08000026,Coventry,"23,564",8
E01009645,Coventry 014D,E08000026,Coventry,"19,604",6
E01009646,Coventry 022A,E08000026,Coventry,"21,619",7
E01009647,Coventry 017C,E08000026,Coventry,"16,141",5
E01009648,Coventry 017D,E08000026,Coventry,"20,269",7
E01009649,Coventry 026A,E08000026,Coventry,"23,667",8
E01009650,Coventry 020E,E08000026,Coventry,"7,472",3
E01009651,Coventry 031D,E08000026,Coventry,"1,975",1
E01009652,Coventry 017E,E08000026,Coventry,"22,378",7
E01009653,Coventry 017F,E08000026,Coventry,"22,330",7
E01009654,Coventry 021B,E08000026,Coventry,"13,818",5
E01009655,Coventry 016A,E08000026,Coventry,"8,708",3
E01009656,Coventry 016B,E08000026,Coventry,"6,685",3
E01009657,Coventry 018B,E08000026,Coventry,"16,783",6
E01009658,Coventry 021C,E08000026,Coventry,"11,612",4
E01009659,Coventry 016C,E08000026,Coventry,"3,463",2
E01009660,Coventry 021D,E08000026,Coventry,"11,633",4
E01009661,Coventry 028D,E08000026,Coventry,"6,767",3
E01009662,Coventry 016D,E08000026,Coventry,"6,251",2
E01009663,Coventry 013B,E08000026,Coventry,"13,879",5
E01009664,Coventry 016E,E08000026,Coventry,"8,028",3
E01009665,Coventry 042A,E08000026,Coventry,"29,510",9
E01009666,Coventry 041A,E08000026,Coventry,"30,010",10
E01009667,Coventry 041B,E08000026,Coventry,"28,729",9
E01009668,Coventry 041C,E08000026,Coventry,"25,579",8
E01009669,Coventry 042B,E08000026,Coventry,"24,466",8
E01009670,Coventry 041D,E08000026,Coventry,"30,189",10
E01009671,Coventry 042C,E08000026,Coventry,"23,686",8
E01009672,Coventry 040E,E08000026,Coventry,"30,935",10
E01009674,Coventry 029A,E08000026,Coventry,"7,990",3
E01009676,Coventry 032A,E08000026,Coventry,"18,453",6
E01009679,Coventry 036C,E08000026,Coventry,"4,828",2
E01009681,Coventry 032B,E08000026,Coventry,"17,212",6
E01009682,Coventry 032C,E08000026,Coventry,"21,014",7
E01009683,Coventry 032D,E08000026,Coventry,"10,409",4
E01009684,Coventry 026B,E08000026,Coventry,"5,677",2
E01009685,Coventry 026C,E08000026,Coventry,"17,028",6
E01009686,Coventry 026D,E08000026,Coventry,"25,039",8
E01009687,Coventry 026E,E08000026,Coventry,"23,933",8
E01009688,Coventry 030A,E08000026,Coventry,"13,579",5
E01009689,Coventry 030B,E08000026,Coventry,"14,593",5
E01009690,Coventry 030C,E08000026,Coventry,"16,580",6
E01009691,Coventry 030D,E08000026,Coventry,"16,782",6
E01009692,Coventry 022B,E08000026,Coventry,"26,507",9
E01009693,Coventry 022C,E08000026,Coventry,"22,825",7
E01009694,Coventry 022D,E08000026,Coventry,"29,755",10
E01009695,Coventry 023A,E08000026,Coventry,"27,164",9
E01009696,Coventry 023B,E08000026,Coventry,"29,040",9
E01009697,Coventry 025A,E08000026,Coventry,"25,271",8
E01009698,Coventry 025B,E08000026,Coventry,"29,698",10
E01009699,Coventry 029B,E08000026,Coventry,"19,226",6
E01009700,Coventry 029C,E08000026,Coventry,"1,153",1
E01009701,Coventry 029D,E08000026,Coventry,"7,297",3
E01009702,Coventry 029E,E08000026,Coventry,"3,195",1
E01009703,Coventry 025C,E08000026,Coventry,"16,198",5
E01009704,Coventry 023C,E08000026,Coventry,"30,585",10
E01009705,Coventry 023D,E08000026,Coventry,"31,142",10
E01009706,Coventry 025D,E08000026,Coventry,"26,619",9
E01009707,Coventry 033E,E08000026,Coventry,"23,713",8
E01009708,Coventry 033F,E08000026,Coventry,"22,042",7
E01009709,Coventry 007F,E08000026,Coventry,94,1
E01009710,Coventry 013C,E08000026,Coventry,"16,972",6
E01009711,Coventry 013D,E08000026,Coventry,"13,184",5
E01009712,Coventry 018C,E08000026,Coventry,"13,220",5
E01009713,Coventry 019B,E08000026,Coventry,"14,810",5
E01009714,Coventry 018D,E08000026,Coventry,"16,464",6
E01009715,Coventry 019C,E08000026,Coventry,"12,920",4
E01009716,Coventry 018E,E08000026,Coventry,"15,380",5
E01009717,Coventry 019D,E08000026,Coventry,"21,484",7
E01009718,Coventry 019E,E08000026,Coventry,"1,718",1
E01032527,Coventry 035G,E08000026,Coventry,"8,757",3
E01032528,Coventry 035H,E08000026,Coventry,"7,175",3
E01032529,Coventry 038E,E08000026,Coventry,"12,453",4
E01032530,Coventry 038F,E08000026,Coventry,"17,445",6
E01032531,Coventry 036E,E08000026,Coventry,"1,981",1
E01032532,Coventry 036F,E08000026,Coventry,"23,533",8
E01032533,Coventry 036G,E08000026,Coventry,"26,824",9
E01032534,Coventry 037F,E08000026,Coventry,"10,504",4
E01032535,Coventry 037G,E08000026,Coventry,"22,898",7
E01032536,Coventry 001F,E08000026,Coventry,"9,501",3
E01032537,Coventry 001G,E08000026,Coventry,"12,303",4
E01032538,Coventry 001H,E08000026,Coventry,"5,452",2
E01032587,Coventry 043E,E08000026,Coventry,"9,643",3
E01033058,Coventry 042F,E08000026,Coventry,"17,768",6
